t_rel,util,mem_mib
757.39,99,15582
757.91,99,15582
758.41,98,15582
758.92,99,15582
759.42,98,15582
759.93,99,15582
760.43,98,15582
760.95,98,15582
761.46,100,15582
761.98,96,15582
762.49,100,15582
763.00,99,15582
763.50,98,15582
764.01,99,15582
764.51,98,15582
765.02,99,15582
765.52,99,15582
766.03,99,15582
766.55,99,15582
767.06,99,15582
767.56,98,15582
768.06,99,15582
768.56,98,15582
769.07,98,15582
769.58,99,15582
770.09,97,15582
770.60,97,15582
771.11,96,15582
771.63,98,15582
772.14,99,15582
772.65,99,15582
773.16,99,15582
773.68,99,15582
774.18,100,15582
774.69,100,15582
775.20,99,15582
775.71,99,15582
776.22,99,15582
776.72,99,15582
777.23,98,15582
777.73,99,15582
778.25,99,15582
778.76,98,15582
779.27,98,15582
779.77,98,15582
780.28,99,15582
780.80,98,15582
781.31,98,15582
781.81,98,15582
782.32,97,15582
782.83,99,15582
783.34,97,15582
783.85,99,15582
784.36,99,15582
784.87,100,15582
785.38,100,15582
785.90,99,15582
